Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
8.600000000000002087e-01,1.000000000000000000e+00,-1.550829402472226337e-01,8.563183436663743819e-01,1.467464660428175263e-02,2.028052435977982237e-01
8.700000000000002176e-01,1.000000000000000000e+00,-1.459334778706826430e-01,8.642005966532350092e-01,1.516254588897688986e-02,2.071494904119100255e-01
8.800000000000002265e-01,1.000000000000000000e+00,-1.368193981762005351e-01,8.721214530798759856e-01,1.564740234101411054e-02,2.114376732260407898e-01
8.900000000000002354e-01,1.000000000000000000e+00,-1.277422718012445058e-01,8.800789473202527136e-01,1.612900353361932174e-02,2.156707356915414930e-01
9.000000000000002442e-01,1.000000000000000000e+00,-1.187036862926059699e-01,8.880711436803083725e-01,1.660714784666399504e-02,2.198496064654327786e-01
9.100000000000002531e-01,1.000000000000000000e+00,-1.097052310330634550e-01,8.960962487172465796e-01,1.708166533730875319e-02,2.239751992294490290e-01
9.200000000000002620e-01,1.000000000000000000e+00,-1.007485688584060374e-01,9.041524557115521166e-01,1.755238980223064113e-02,2.280484127279049367e-01
9.300000000000002709e-01,1.000000000000000000e+00,-9.183537816500815520e-02,9.122380760433258517e-01,1.801918252188407232e-02,2.320701308229377313e-01
9.400000000000002798e-01,1.000000000000000000e+00,-8.296733420310720142e-02,9.203514717659228017e-01,1.848192572463240591e-02,2.360412225657579632e-01
9.500000000000002887e-01,1.000000000000000000e+00,-7.414605666334699030e-02,9.284910589376372814e-01,1.894050277858418813e-02,2.399625422826040522e-01
9.600000000000002975e-01,1.000000000000000000e+00,-6.537308270058359017e-02,9.366553249947668913e-01,1.939481773224914496e-02,2.438349296741668948e-01
9.700000000000003064e-01,1.000000000000000000e+00,-5.664981908665926713e-02,9.448428020575380115e-01,1.984479161843849190e-02,2.476592099273106640e-01
9.800000000000003153e-01,1.000000000000000000e+00,-4.797753224165208358e-02,9.530520909109371219e-01,2.029035298549290711e-02,2.514361938379903183e-01
9.900000000000003242e-01,1.000000000000000000e+00,-3.935733698884046061e-02,9.612818188735708924e-01,2.073143704633951048e-02,2.551666779443130251e-01
1.000000000000000444e+00,1.000000000000000000e+00,-3.079018764750529602e-02,9.695307000698227817e-01,2.116799944967432887e-02,2.588514446687695258e-01
1.010000000000000231e+00,1.000000000000000000e+00,-2.227690234966952718e-02,9.777974760502571305e-01,2.160000100268718790e-02,2.624912624687003593e-01
1.020000000000000462e+00,1.000000000000000000e+00,-1.381816433008150463e-02,9.860809289702772151e-01,2.202740209039487709e-02,2.660868859941334374e-01
1.030000000000000249e+00,1.000000000000000000e+00,-5.414545812090816243e-03,9.943799165225702952e-01,2.245018945394313542e-02,2.696390562521916445e-01
1.040000000000000480e+00,2.000000000000000000e+00,-5.380677978151776966e-03,9.284520965154408056e-01,9.419834283094508098e-03,2.730311328215940803e-01
1.050000000000000266e+00,2.000000000000000000e+00,-2.210933554114156985e-02,8.512584797636389977e-01,6.244179363274524053e-03,2.761477585712638350e-01
1.060000000000000497e+00,2.000000000000000000e+00,-3.956474547769758821e-02,7.991686078846007568e-01,1.762582156285506796e-02,2.792403841554369492e-01
1.070000000000000284e+00,2.000000000000000000e+00,-5.767983994788372648e-02,7.559463013758841443e-01,2.762788261713894356e-02,2.823092549966637055e-01
1.080000000000000515e+00,2.000000000000000000e+00,-7.646369376186155919e-02,7.175752840012795675e-01,3.698910594401097485e-02,2.853546139558872374e-01
1.090000000000000302e+00,2.000000000000000000e+00,-9.595171780178148035e-02,6.822831480146002159e-01,4.605661329645052704e-02,2.883767013114587052e-01
1.100000000000000533e+00,2.000000000000000000e+00,-1.161915005427117537e-01,6.490804505226563936e-01,5.504681439879591243e-02,2.913757547424773997e-01
1.110000000000000320e+00,2.000000000000000000e+00,-1.372396988160608511e-01,6.173268589911210524e-01,6.412498767321164750e-02,2.943520093162720341e-01
1.120000000000000551e+00,2.000000000000000000e+00,-1.591615245276774837e-01,5.865564801554119523e-01,7.344032827079657877e-02,2.973056974798153895e-01
1.130000000000000338e+00,2.000000000000000000e+00,-1.820313120546649677e-01,5.563907325323307340e-01,8.314774190655496722e-02,3.002370490548647020e-01
1.140000000000000568e+00,2.000000000000000000e+00,-2.059336577417903991e-01,5.264840386916093129e-01,9.342788910154914417e-02,3.031462912366184592e-01
1.150000000000000355e+00,2.000000000000000000e+00,-2.309649165653338276e-01,4.964780469781272521e-01,1.045133775479913929e-01,3.060336485956819397e-01
