Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
1.180000000000000604e+00,1.000000000000000000e+00,-1.260512128882380400e+00,2.830137898805251129e-01,2.830137898805251129e-01,2.741645172825932786e-01
1.190000000000000391e+00,1.000000000000000000e+00,-1.263488276173676317e+00,2.824015727555724831e-01,2.824015727555724831e-01,2.771130251226014418e-01
1.200000000000000622e+00,1.000000000000000000e+00,-1.265439170404717872e+00,2.817850122461844631e-01,2.817850122461844631e-01,2.800359368835290130e-01
1.210000000000000409e+00,1.000000000000000000e+00,-1.267868957114938411e+00,2.811641751495188024e-01,2.811641751495188024e-01,2.829335038935750779e-01
1.220000000000000639e+00,1.000000000000000000e+00,-1.269512924314089464e+00,2.805391213050748567e-01,2.805391213050748567e-01,2.858059762281538463e-01
1.230000000000000426e+00,1.000000000000000000e+00,-1.271569812383114062e+00,2.799099110136668012e-01,2.799099110136668012e-01,2.886536026533422783e-01
1.240000000000000657e+00,1.000000000000000000e+00,-1.273690093143621471e+00,2.792765981664130925e-01,2.792765981664130925e-01,2.914766305722304995e-01
1.250000000000000444e+00,1.000000000000000000e+00,-1.275952542860121053e+00,2.786392354848160058e-01,2.786392354848160058e-01,2.942753059741025634e-01
1.260000000000000675e+00,1.000000000000000000e+00,-1.278667655163504557e+00,2.779978857635136968e-01,2.779978857635136968e-01,2.970498733863773388e-01
1.270000000000000462e+00,1.000000000000000000e+00,-1.280536329661271511e+00,2.773525931594899574e-01,2.773525931594899574e-01,2.998005758292378586e-01
1.280000000000000693e+00,1.000000000000000000e+00,-1.282856114315512830e+00,2.767034138162579593e-01,2.767034138162579593e-01,3.025276547728804055e-01
1.290000000000000480e+00,1.000000000000000000e+00,-1.285770458880163059e+00,2.760503936630494537e-01,2.760503936630494537e-01,3.052313500973061200e-01
1.300000000000000711e+00,1.000000000000000000e+00,-1.287645924876247960e+00,2.753935817362765381e-01,2.753935817362765381e-01,3.079119000545904594e-01
1.310000000000000497e+00,1.000000000000000000e+00,-1.290860472461925035e+00,2.747330303589682332e-01,2.747330303589682332e-01,3.105695412335514605e-01
1.320000000000000728e+00,1.000000000000000000e+00,-1.292456961743264410e+00,2.740687715476785580e-01,2.740687715476785580e-01,3.132045085267545215e-01
1.330000000000000515e+00,1.000000000000000000e+00,-1.295473858919766075e+00,2.734008599795800243e-01,2.734008599795800243e-01,3.158170350997700493e-01
1.340000000000000746e+00,1.000000000000000000e+00,-1.297698440282654575e+00,2.727293386349070037e-01,2.727293386349070037e-01,3.184073523626283486e-01
1.350000000000000533e+00,1.000000000000000000e+00,-1.300544971606888422e+00,2.720542390166575397e-01,2.720542390166575397e-01,3.209756899433867106e-01
1.360000000000000764e+00,1.000000000000000000e+00,-1.302158484027428953e+00,2.713756153630285661e-01,2.713756153630285661e-01,3.235222756637544661e-01
1.370000000000000551e+00,1.000000000000000000e+00,-1.304534155905051174e+00,2.706934891411229005e-01,2.706934891411229005e-01,3.260473355166920717e-01
1.380000000000000782e+00,1.000000000000000000e+00,-1.307849226206776017e+00,2.700079141222974655e-01,2.700079141222974655e-01,3.285510936459311582e-01
1.390000000000000568e+00,1.000000000000000000e+00,-1.309856854248499847e+00,2.693189246871565135e-01,2.693189246871565135e-01,3.310337723273383270e-01
1.400000000000000799e+00,1.000000000000000000e+00,-1.312663200083584059e+00,2.686265456395700579e-01,2.686265456395700579e-01,3.334955919520610768e-01
1.410000000000000586e+00,1.000000000000000000e+00,-1.314560281385999341e+00,2.679308158979900045e-01,2.679308158979900045e-01,3.359367710113938532e-01
1.420000000000000817e+00,1.000000000000000000e+00,-1.317397450651613289e+00,2.672317724890719282e-01,2.672317724890719282e-01,3.383575260832940024e-01
1.430000000000000604e+00,1.000000000000000000e+00,-1.267402491130200870e+00,2.807374374802104611e-01,2.530405018377784865e-01,3.407580718204926695e-01
1.440000000000000835e+00,1.000000000000000000e+00,-1.176704664259355715e+00,3.075645375252218372e-01,2.297479396897705861e-01,3.431386209401341425e-01
1.450000000000000622e+00,1.000000000000000000e+00,-1.125435970834572474e+00,3.237988763053652463e-01,2.170667986406178973e-01,3.454993842148884609e-01
1.460000000000000853e+00,1.000000000000000000e+00,-1.085637263265838648e+00,3.369795696934828610e-01,2.074575716208251208e-01,3.478405704654714548e-01
1.470000000000000639e+00,1.000000000000000000e+00,-1.052021950074298662e+00,3.485246969726913391e-01,1.995017431043107359e-01,3.501623865545264724e-01
1.480000000000000870e+00,1.000000000000000000e+00,-1.022424649754226422e+00,3.590139537913427104e-01,1.926191844921482932e-01,3.524650373817997950e-01
1.490000000000000657e+00,1.000000000000000000e+00,-9.957061123851305151e-01,3.687518512249813862e-01,1.865049909209977597e-01,3.547487258805616106e-01
1.500000000000000888e+00,1.000000000000000000e+00,-9.711800426473893300e-01,3.779216224540547509e-01,1.809755308181792421e-01,3.570136530152212551e-01
1.510000000000000675e+00,1.000000000000000000e+00,-9.483951149036109474e-01,3.866434805046902734e-01,1.759101746215647188e-01,3.592600177800782113e-01
1.520000000000000906e+00,1.000000000000000000e+00,-9.270359126968927832e-01,3.950014121320487015e-01,1.712245758528035400e-01,3.614880171991646796e-01
1.530000000000000693e+00,1.000000000000000000e+00,-9.068719994918044147e-01,4.030566541717957030e-01,1.668571172727204288e-01,3.636978463271261508e-01
1.540000000000000924e+00,1.000000000000000000e+00,-8.877289212381458405e-01,4.108553396036346284e-01,1.627612296161171646e-01,3.658896982510962959e-01
1.550000000000000711e+00,1.000000000000000000e+00,-8.694707559116205964e-01,4.184336145192376066e-01,1.589004898850084335e-01,3.680637640935147115e-01
1.560000000000000941e+00,1.000000000000000000e+00,-8.519895485435518001e-01,4.258198787822381481e-01,1.552460694214927717e-01,3.702202330158489429e-01
1.570000000000000728e+00,1.000000000000000000e+00,-8.351975005782826811e-01,4.330373373022073924e-01,1.517744479322063467e-01,3.723592922231695468e-01
1.580000000000000959e+00,1.000000000000000000e+00,-8.190223088572617938e-01,4.401049332354071142e-01,1.484663132742464475e-01,3.744811269695430545e-01
1.590000000000000746e+00,1.000000000000000000e+00,-8.034035085541536558e-01,4.470385674398676956e-01,1.453054416221178369e-01,3.765859205641962637e-01
1.600000000000000977e+00,1.000000000000000000e+00,-7.882901085006025488e-01,4.538515219071389550e-01,1.422781925425308513e-01,3.786738543784162747e-01
1.610000000000000764e+00,1.000000000000000000e+00,-7.736382889345112535e-01,4.605552499636884067e-01,1.393728086271957545e-01,3.807451078531434163e-01
1.620000000000000995e+00,1.000000000000000000e+00,-7.594104549301162743e-01,4.671595027795321653e-01,1.365792064874168932e-01,3.827998585072238114e-01
1.630000000000000782e+00,1.000000000000000000e+00,-7.455739063475683714e-01,4.736727044635857808e-01,1.338886117285424115e-01,3.848382819462862203e-01
1.640000000000001013e+00,1.000000000000000000e+00,-7.320999273294038767e-01,4.801023532811120598e-01,1.312932878110070478e-01,3.868605518721986436e-01
1.650000000000000799e+00,1.000000000000000000e+00,-7.189631978655303124e-01,4.864548780404663320e-01,1.287864484057286152e-01,3.888668400930880842e-01
1.660000000000001030e+00,1.000000000000000000e+00,-7.061413962718691151e-01,4.927359856362798496e-01,1.263620773289285404e-01,3.908573165338760091e-01
1.670000000000000817e+00,1.000000000000000000e+00,-6.936144114142841488e-01,4.989508137297024581e-01,1.240147673085669200e-01,3.928321492473045295e-01
1.680000000000001048e+00,1.000000000000000000e+00,-6.813643778209921287e-01,5.051039034989738274e-01,1.217396941549207245e-01,3.947915044254239891e-01
1.690000000000000835e+00,1.000000000000000000e+00,-6.693751492912199952e-01,5.111993239983746440e-01,1.195325003058052282e-01,3.967355464115112085e-01
1.700000000000001066e+00,1.000000000000000000e+00,-6.576321958380003663e-01,5.172407030231114256e-01,1.173892657851983434e-01,3.986644377123895744e-01
1.710000000000000853e+00,1.000000000000000000e+00,-6.461222459973403609e-01,5.232313603298240912e-01,1.153064062846295978e-01,4.005783390111276043e-01
1.720000000000001084e+00,1.000000000000000000e+00,-6.348332172355992675e-01,5.291743027552830991e-01,1.132806501587407255e-01,4.024774091800847886e-01
1.730000000000000870e+00,1.000000000000000000e+00,-6.237541270991535658e-01,5.350722693178457945e-01,1.113090034350795732e-01,4.043618052942864471e-01
1.740000000000001101e+00,1.000000000000000000e+00,-6.128748668069962102e-01,5.409276738469490642e-01,1.093887756439959336e-01,4.062316826450976803e-01
1.750000000000000888e+00,1.000000000000000000e+00,-6.021861589965177286e-01,5.467428434150884975e-01,1.075173994808118483e-01,4.080871947541769851e-01
1.760000000000001119e+00,1.000000000000000000e+00,-5.916794207049576038e-01,5.525198349711772927e-01,1.056925743571171528e-01,4.099284933876859993e-01
1.770000000000000906e+00,1.000000000000000000e+00,-5.813467393602035349e-01,5.582605633242856413e-01,1.039121417925334967e-01,4.117557285707366677e-01
1.780000000000001137e+00,1.000000000000000000e+00,-5.711807964847964714e-01,5.639667694927690267e-01,1.021741133458172190e-01,4.135690486020511258e-01
1.790000000000000924e+00,1.000000000000000000e+00,-5.611747885756045440e-01,5.696400776574485070e-01,1.004766376063498390e-01,4.153686000688200375e-01
1.800000000000001155e+00,1.000000000000000000e+00,-5.513223479953472950e-01,5.752819943503830746e-01,9.881797654321988755e-02,4.171545278617365682e-01
1.810000000000000941e+00,1.000000000000000000e+00,-5.416175749115758054e-01,5.808939001467641194e-01,9.719653029124639132e-02,4.189269751901908423e-01
1.820000000000001172e+00,1.000000000000000000e+00,-5.320549649659042091e-01,5.864770756564812171e-01,9.561078518625137912e-02,4.206860835976080626e-01
1.830000000000000959e+00,1.000000000000000000e+00,-5.226293093185412353e-01,5.920327260838915695e-01,9.405933574567995614e-02,4.224319929769102533e-01
1.840000000000001190e+00,1.000000000000000000e+00,-5.133357943255235645e-01,5.975619501014213242e-01,9.254085921701846185e-02,4.241648415860930221e-01
1.850000000000000977e+00,1.000000000000000000e+00,-5.041698270720105235e-01,6.030657963888245154e-01,9.105410264725635749e-02,4.258847660638940269e-01
1.860000000000001208e+00,1.000000000000000000e+00,-4.951271396952747761e-01,6.085452400326183398e-01,8.959789764818471003e-02,4.275919014455470957e-01
1.870000000000000995e+00,1.000000000000000000e+00,-4.862037009961105438e-01,6.140011618804888105e-01,8.817114347848595268e-02,4.292863811786022943e-01
1.880000000000001226e+00,1.000000000000000000e+00,-4.773956690488805887e-01,6.194344360660170024e-01,8.677278997079657108e-02,4.309683371388032258e-01
1.890000000000001013e+00,1.000000000000000000e+00,-4.686994748315160830e-01,6.248458232464348949e-01,8.540186814779526792e-02,4.326378996460069626e-01
1.900000000000001243e+00,1.000000000000000000e+00,-4.601116816282637689e-01,6.302361034254084782e-01,8.405741881276176941e-02,4.342951974801358972e-01
1.910000000000001030e+00,1.000000000000000000e+00,-4.516290801885932127e-01,6.356059452314473113e-01,8.273858508516118704e-02,4.359403578971496884e-01
1.920000000000001261e+00,1.000000000000000000e+00,-4.432485950908612860e-01,6.409560284525197549e-01,8.144451123846258023e-02,4.375735066450288091e-01
