Iref,iL
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
5.999999999999999778e-01,5.239585838150428998e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
6.099999999999999867e-01,5.266763196696641058e-01
6.099999999999999867e-01,5.266763196696637728e-01
6.099999999999999867e-01,5.266763196696643279e-01
6.099999999999999867e-01,5.266763196696639948e-01
6.099999999999999867e-01,5.266763196696638838e-01
