Iref,iL
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
6.099999999999999867e-01,5.370754963977610874e-01
